Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Government Effectiveness: Estimate [GE.EST],Income share held by highest 10% [SI.DST.10TH.10],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Population density (people per sq. km of land area) [EN.POP.DNST]
Bahrain,80.019,22.06335481,100,3.95980344,29.97935416,857.1397318,1197.045121,2.677039302,0.1,,0.2943528,,15.2,1.58154,-0.627359509,1915.625641
Bangladesh,72.806,0.559733656,92.2,2.620749,72.05020905,95.48309515,25.31501268,634.378907,0.1,,-0.731802583,,35.2,0.00516,-0.932975292,1271.538926
Barbados,77.257,4.166143194,100,6.1940732,46.72623062,570.9853448,471.6503006,285.5307302,0.9,8.41,0.626334429,,8.5,9.46831,1.049227476,651.5813953
Belarus,74.22682927,6.12342695,100,5.86133814,25.69003105,338.0864432,807.1694588,3609.434552,0.5,4.16,-0.129739583,21.3,30.9,10.90107,0.332389116,46.41075062
Belgium,81.99512195,8.093790746,100,10.6635952,18.97733116,1393.412087,4411.521265,1044.479144,,5.36,1.142297983,22.3,23.9,10.28089,0.473777533,379.4247028
Belize,73.931,1.89208291,92.72,6.07060003,23.93080711,134.5287826,304.184654,39219.21382,1.1,9.05,-0.60082376,,8.8,5.71321,0.063038863,17.05808856
Benin,60.454,0.608236773,39.99809265,2.32052207,46.20043564,39.74848555,17.79848861,838.0494635,0.9,,-0.466742843,,7.2,8.34555,-0.41266796,108.9964881
Bermuda,81.033,,100,,,,,,,,1.355696321,,,,1.065073848,1183.537037
Bhutan,71.391,1.867200723,100,3.60361075,17.79043007,83.55066832,315.7411352,101634.0938,0.2,2.72,0.351603776,,,0.19989,1.082095861,20.12215522
Bolivia,67.841,1.853461506,95.08,6.88792992,23.99159813,170.0747637,435.2818978,25769.88049,0.3,3.68,-0.774055243,30.8,13.2,4.09584,-0.730085671,10.87170221
Bosnia and Herzegovina,77.241,6.285663956,100,9.04909897,29.35281181,415.2382578,959.7122303,10563.24093,,15.69,-0.669898689,,35.5,6.3848,-0.418754309,65.63888672
Botswana,65.464,2.879663256,70.09508514,6.12193108,4.49591064,183.8344095,690.9238667,960.1144456,19.8,20.09,0.400045097,,19.8,8.16316,1.111055136,4.410745858
Brazil,75.338,2.050770129,99.8,9.61449146,24.87984657,869.4482364,599.2218299,26730.20621,0.5,11.94,-0.206858993,41.9,13.2,7.67496,-0.713788211,25.33851766
British Virgin Islands,75.863,,100,,,,,,,,,,,,,204.0666667
Brunei Darussalam,74.748,16.11193294,100,2.19410944,5.59261751,78.56018239,1326.152,19404.2662,,6.6,1.311809182,,16.2,0.4118,1.108798981,83.12106262
Bulgaria,75.11219512,5.613710103,99.19500732,7.08924437,38.9731369,706.8759495,1023.790811,3010.424239,0.1,4.23,0.202311069,31.4,39.4,11.91963,0.578860998,64.25719418
Burkina Faso,60.039,0.269501589,17.6,5.38121271,34.69356155,49.58496795,48.91280337,596.6120359,0.7,,-0.753421664,,14.9,9.81281,-1.302386522,76.57762792
Burundi,62.351,0.059571339,9.839400291,6.53989458,30.74374962,16.1998616,18.19443376,847.1694519,1,,-1.350362778,,12.2,4.12798,-1.615158916,462.41581
Cabo Verde,76.004,1.069615098,91.4,5.06559896,26.75374603,105.5480903,231.2641596,519.9036445,0.6,11.29,0.291506767,,11.7,6.27088,0.873942554,143.1836228
Cambodia,70.692,1.116330426,84,6.89604807,64.39125061,222.0081354,77.99842165,7440.886598,0.6,0.5,-0.571561098,,21.9,8.48211,-0.089493863,91.81818491
Cameroon,61.584,0.370691707,63.17689514,3.65157914,72.18878174,108.3885178,15.93056204,10588.64282,3.1,,-0.83137095,,7.5,10.1012,-1.559216738,54.54156036
Canada,82.22878049,15.05274694,100,10.95021915,15.03504467,1634.80207,3774.884479,75795.39286,,5.69,1.724295616,24.4,13.6,9.89647,1.01676774,4.193949311
Cayman Islands,,,100,,,,,,,,1.163199425,,,,1.433294296,275.5583333
Central African Republic,55.025,0.045188205,14.3,7.82838726,60.87836075,44.58864264,7.540745332,27066.85167,3.1,,-1.754603624,,,1.98657,-2.138271809,8.361944204
Chad,53.259,0.098196389,8.4,4.47938061,62.62454605,45.79549423,11.05494245,930.1249232,1.2,,-1.576589465,,8.5,3.73055,-1.343743205,12.80723158
